"id","label","wkt","wikidata_id","townland_label","barony_label","county_label","province_label","country_label"
40000153,"Kilgobnet (Ogham Site)","POINT(-9.718889 52.068056)","Q85395538","Kilgobnet","Dunkerron North","Kerry","Munster","Ireland"
40000154,"Kilgrovan (Ogham Site)","POINT(-7.549722 52.090556)","Q85396854","Kilgrovan","Decies without Drum","Waterford","Munster","Ireland"
40000155,"Kilkeehagh (Ogham Site)","POINT(-10.029167 52.031111)","Q85395582","Kilkeehagh","Iveragh","Kerry","Munster","Ireland"
40000156,"Killabeg (Ogham Site)","POINT(-6.530278 52.543611)","Q85391677","Killabeg","Scarawalsh","Wexford","Leinster","Ireland"
40000157,"Killeenleagh (Ogham Site)","POINT(-10.058583 51.907671)","Q106628052","Killeenleagh","Iveragh","Kerry","Munster","Ireland"
40000158,"Killogrone (Ogham Site)","POINT(-10.175833 51.913333)","Q85395618","Killogrone","Iveragh","Kerry","Munster","Ireland"
40000159,"Killorglin Townland","POINT(-9.540833 52.233611)","Q85396826","Cloontarriv","Trughanacmy","Kerry","Munster","Ireland"
40000160,"Killorglin [neighbourhood of] (Ogham Site)","POINT(-9.540833 52.233611)","Q85396936","Cloontarriv","Trughanacmy","Kerry","Munster","Ireland"
40000161,"Killurly (Ogham Site)","POINT(-10.301944 51.843333)","Q85395551","Killurly","Iveragh","Kerry","Munster","Ireland"
40000162,"Kilmalkedar (Ogham Site)","POINT(-10.333056 52.188333)","Q85395528","Kilmalkedar","Corkaguiny","Kerry","Munster","Ireland"
40000163,"Kilmannin (Ogham Site)","POINT(-8.765556 53.773611)","Q72006009","Kilmannin","Costello","Mayo","Connacht","Ireland"
40000164,"Kilmartin Lower (Ogham Site)","POINT(-8.789444 51.985556)","Q85394014","Kilmartin Lower","Muskerry East","Cork","Munster","Ireland"
40000165,"Kilmolash (Ogham Site)","POINT(-7.804444 52.1025)","Q85396911","Kilmolash","Decies without Drum","Waterford","Munster","Ireland"
40000166,"Kilquane (Ogham Site)","POINT(-10.318342 52.209394)","Q106628056","Kilquane","Corkaguiny","Kerry","Munster","Ireland"
40000167,"Kinard East (Ogham Site)","POINT(-10.194444 52.120556)","Q85395530","Kinard East","Corkaguiny","Kerry","Munster","Ireland"
40000168,"Knickeen (Ogham Site)","POINT(-6.535 52.998056)","Q85391711","Knickeen","Talbotstown Upper","Wicklow","Leinster","Ireland"
40000169,"Knockalafalla (Ogham Site)","POINT(-7.511667 52.326389)","Q85396870","Knockalafalla","Upperthird","Waterford","Munster","Ireland"
40000170,"Knockboy (Ogham Site)","POINT(-7.6 52.111389)","Q85396914","Knockboy","Decies without Drum","Waterford","Munster","Ireland"
40000171,"Knockmahon (Ogham Site)","POINT(-7.35056 52.14028)","Q106626874","Knockmahon","Decies without Drum","Waterford","Munster","Ireland"
40000172,"Knockrour (Ogham Site)","POINT(-8.838889 51.9575)","Q85393940","Knockrour","Muskerry East","Cork","Munster","Ireland"
40000173,"Knockshanawee (Ogham Site)","POINT(-8.794722 51.868056)","Q69383268","Knockshanawee","Muskerry East","Cork","Munster","Ireland"
40000174,"Lackabane (Ogham Site)","POINT(-8.741852 51.995245)","Q106628044","Lackabane","Muskerry East","Cork","Munster","Ireland"
40000175,"Lamoge (Ogham Site)","POINT(-7.360833 52.443889)","Q85391666","Lamoge","Kells","Kilkenny","Leinster","Ireland"
40000176,"Legan (Ogham Site)","POINT(-7.158611 52.538611)","Q85391706","Legan","Gowran","Kilkenny","Leinster","Ireland"
40000177,"Letter Ogham Site (Ogham Site)","POINT(-10.220833 51.923333)","Q85395585","Letter","Iveragh","Kerry","Munster","Ireland"
40000178,"Letter West (Ogham Site)","POINT(-10.025278 52.013611)","Q85396891","Letter West","Iveragh","Kerry","Munster","Ireland"
